"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ENSG00000006712.15" 631 1465 2784 1444 781 1552 2607 3038 1151 1109 2380 1962 700 827
"ENSG00000006715.16" 1396 2055 5350 2550 1434 2433 9732 12556 3435 3241 9105 6995 2558 2635
"ENSG00000006740.17" 126 257 555 250 164 290 680 812 227 196 628 505 138 161
"ENSG00000006744.19" 330 727 1574 585 240 657 2245 2553 704 656 1910 1604 682 693
"ENSG00000006747.15" 235 357 923 286 202 344 1273 1599 249 260 1230 940 138 144
"ENSG00000006756.16" 425 738 1864 988 573 1143 1821 2210 498 527 1779 1428 263 291
"ENSG00000006757.12" 86 223 440 236 130 219 330 400 81 84 296 236 68 76
"ENSG00000006788.14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000006831.10" 1152 1854 4534 1921 1054 1832 6153 7828 2648 2486 5823 4500 2260 2347
"ENSG00000006837.12" 14 31 46 27 21 30 48 59 16 19 45 35 39 40
"ENSG00000007001.12" 2 1 1 1 1 0 1 3 0 1 5 3 1 0
"ENSG00000007038.11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007047.15" 263 561 1164 711 361 777 1150 1211 559 549 1028 811 169 192
"ENSG00000007062.11" 631 903 2493 1209 829 1305 4018 5336 1018 913 4051 3087 526 606
"ENSG00000007080.11" 315 763 1416 566 282 612 1161 997 257 223 1006 724 224 266
"ENSG00000007129.18" 3 4 1 0 1 5 2 0 0 0 1 0 0 0
"ENSG00000007168.13" 660 1028 2780 1447 831 1294 3738 4974 1645 1671 3456 2753 1779 1958
"ENSG00000007171.18" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSG00000007174.18" 3 3 6 6 14 7 17 13 3 14 18 10 12 6
"ENSG00000007202.15" 1435 2393 6359 1752 834 1734 9515 11938 3290 3128 8599 6964 3207 3521
"ENSG00000007216.14" 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENSG00000007237.18" 1 8 18 6 11 8 4 17 2 4 16 11 6 6
"ENSG00000007255.10" 357 812 1647 488 280 585 861 777 128 124 733 637 48 73
"ENSG00000007264.15" 0 1 2 3 0 1 1 0 1 0 3 0 0 1
"ENSG00000007306.15" 88 101 272 304 149 332 61 75 9 8 56 53 13 9
"ENSG00000007312.12" 0 0 0 0 0 0 2 1 0 0 0 0 2 1
"ENSG00000007314.12" 0 0 0 0 0 1 1 0 1 3 0 0 2 2
"ENSG00000007341.19" 97 156 314 157 99 179 375 454 169 155 341 224 219 244
"ENSG00000007350.17" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000007372.23" 1 4 3 5 1 5 6 3 3 4 2 0 3 3
"ENSG00000007376.8" 482 1185 2302 507 286 706 1231 932 403 395 1059 761 263 337
"ENSG00000007384.15" 345 739 1516 713 391 958 1358 1166 767 774 1143 873 433 484
"ENSG00000007392.16" 218 460 845 371 207 385 1159 1355 703 652 1094 792 640 627
"ENSG00000007402.11" 1 1 4 7 9 3 10 8 5 4 10 12 0 1
"ENSG00000007516.13" 32 66 158 82 50 109 157 140 51 62 151 133 41 44
"ENSG00000007520.4" 627 1546 2691 617 415 849 1403 1234 376 340 1172 916 351 426
"ENSG00000007541.16" 392 1083 2248 547 302 616 1848 1430 542 543 1606 1158 291 395
"ENSG00000007545.16" 160 331 841 520 307 637 1377 1501 1004 1226 1168 985 667 796
"ENSG00000007866.21" 278 566 1284 646 293 648 699 695 237 240 570 500 129 148
"ENSG00000007908.16" 0 1 0 25 7 24 0 0 7 8 0 0 2 10
"ENSG00000007923.16" 374 832 1648 700 310 713 1903 2136 584 598 1752 1378 802 899
"ENSG00000007933.13" 0 1 2 1 0 0 2 3 1 3 0 1 1 1
"ENSG00000007944.15" 48 57 196 139 59 147 158 203 218 209 161 130 201 241
"ENSG00000007952.18" 0 0 0 0 1 0 4 11 2 3 12 8 7 6
"ENSG00000007968.7" 92 185 423 100 57 100 429 521 98 96 387 301 68 92
"ENSG00000008018.9" 1554 3381 6450 2813 1541 2653 3015 3881 797 798 2848 2200 742 695
"ENSG00000008056.14" 3 0 8 4 1 3 5 5 11 12 5 8 2 1
"ENSG00000008083.14" 116 195 461 537 291 525 636 767 410 438 631 492 257 259
"ENSG00000008086.13" 149 159 563 539 328 515 1565 2053 1220 1302 1526 1228 717 757
"ENSG00000008118.10" 0 0 1 5 4 5 4 3 7 6 4 4 24 24
"ENSG00000008128.23" 133 281 550 350 168 317 697 712 482 502 658 480 243 264
"ENSG00000008130.15" 515 1178 2324 1432 715 1590 2344 2475 1060 1115 2111 1597 966 1041
"ENSG00000008196.13" 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000008197.4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000008226.20" 4 0 12 6 1 5 34 24 9 10 31 25 7 9
"ENSG00000008256.16" 909 1576 3735 2726 1513 2828 4034 4533 1910 1750 3729 2836 1896 2037
"ENSG00000008277.14" 21 40 124 15 18 14 272 414 53 56 286 202 25 30
"ENSG00000008282.8" 968 1107 3257 1767 1198 1679 6287 8261 2113 1915 6056 4508 992 1079
"ENSG00000008283.16" 601 1206 2666 645 330 670 2251 2311 559 573 1964 1571 630 721
"ENSG00000008294.21" 916 1158 3376 3072 1569 2638 8462 10845 5314 5176 7747 6056 8823 9259
"ENSG00000008300.17" 214 333 980 713 280 730 2407 2404 1794 1819 2294 1798 1863 2054
"ENSG00000008311.15" 131 172 453 303 185 303 897 1218 932 967 897 659 449 474
"ENSG00000008323.15" 154 363 765 476 280 566 745 768 345 322 689 546 138 181
"ENSG00000008324.11" 111 188 342 139 73 160 409 623 160 146 417 294 94 100
"ENSG00000008382.15" 118 293 501 93 54 95 438 403 64 64 409 280 47 46
"ENSG00000008394.13" 2578 3783 8666 3454 2011 3473 10611 13935 2856 2653 10329 8024 1528 1621
