SRR1942929	SRR1942934	SRR1942956	SRR1942957	SRR1942960	SRR1942961	SRR1942989	SRR1942990
HARLEQUIN_11q22.3	0	0	0	0	0	0	0	0
HARLEQUIN_12p12.2	28	52	17	25	23	21	12	21
HARLEQUIN_12p13.32	0	0	0	0	0	0	0	0
HARLEQUIN_12q13.12	1	1	2	1	0	0	0	0
HARLEQUIN_12q15	0	0	0	1	0	0	0	0
HARLEQUIN_12q21.1	0	0	0	0	0	0	0	0
HARLEQUIN_13q12.12	0	0	0	0	2	0	0	0
HARLEQUIN_14q21.1	0	0	0	0	0	0	0	0
HARLEQUIN_16p11.1	0	0	0	0	0	0	0	0
HARLEQUIN_17q12	0	0	0	0	0	0	0	0
HARLEQUIN_17q21.31	280	347	235	215	277	174	83	80
HARLEQUIN_17q21.33	4	16	11	8	6	8	11	9
HARLEQUIN_17q25.3a	19	32	26	27	32	26	7	19
HARLEQUIN_17q25.3b	4	9	0	3	7	5	3	1
HARLEQUIN_18p11.22a	0	0	0	0	0	0	0	0
HARLEQUIN_18p11.22b	5	4	7	6	4	7	8	11
HARLEQUIN_19p12a	2	2	0	0	1	0	1	0
HARLEQUIN_19p12b	4	10	0	1	2	1	1	1
HARLEQUIN_19p12c	0	0	0	0	0	0	0	0
HARLEQUIN_19p12d	0	0	0	0	0	0	0	0
HARLEQUIN_19p13.11	33	32	11	17	17	14	8	6
HARLEQUIN_19p13.2	1	0	0	0	2	0	0	0
HARLEQUIN_19p13.3	0	0	1	0	0	0	0	0
HARLEQUIN_19q13.41	83	117	42	41	82	57	26	26
HARLEQUIN_1p13.2a	1	0	0	0	1	2	0	1
