Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
ERVLE_8q24.23d	0	0	0	0	0	0
MER4_3q11.2b	0	0	0	0	0	0
MER4_4q34.1a	0	0	0	0	0	0
MER4B_14q32.11b	0	0	0	0	0	0
MER4B_17p11.2b	0	0	0	0	0	0
MER4B_17p11.2c	0	0	0	0	0	0
MER4B_3p21.2b	0	0	0	0	0	0
MER61_3p12.3a	0	0	0	0	0	0
ERVLE_15q24.1	0	0	0	0	0	0
ERVLE_17q22c	0	0	0	0	0	0
ERVLE_18q22.1c	0	0	0	0	0	0
ERVLE_2q32.2c	0	0	0	0	0	0
ERVLE_4p16.1a	0	0	0	0	0	0
HUERSP3_Yq11.223d	0	0	0	0	0	0
HUERSP3B_2q32.3	0	0	0	0	0	0
L1FLnI_Xq21.1ie	0	0	0	0	0	0
MER101_15q12	0	0	0	0	0	0
MER61_13q21.33	0	0	0	0	0	0
ERV316A3_10p11.22b	0	0	0	0	0	0
ERV316A3_12p11.22b	0	0	0	0	0	0
ERV316A3_7q21.11h	0	0	0	0	0	0
ERV316A3_8q23.3d	0	0	0	0	0	0
ERVLE_12q21.1d	0	0	0	0	0	0
ERVLE_14q31.3c	0	0	0	0	0	0
ERVLE_2q35b	0	0	0	0	0	0
ERVLE_4q12c	0	0	0	0	0	0
HERVFRD_Xq21.31b	0	0	0	0	0	0
HERVFRD_Yp11.2a	0	0	0	0	0	0
HERVL18_7q21.13	0	0	0	0	0	0
L1FLnI_13q14.11o	0	0	0	0	0	0
L1FLnI_4p16.2c	0	0	0	0	0	0
L1FLnI_4q13.1ya	0	0	0	0	0	0
L1FLnI_7q21.11e	0	0	0	0	0	0
L1FLnI_7q21.13h	0	0	0	0	0	0
L1FLnI_8p23.2k	0	0	0	0	0	0
L1FLnI_Xq26.3g	0	0	0	0	0	0
L1FLnI_Xq27.3c	0	0	0	0	0	0
MER101_2q32.3	0	0	0	0	0	0
MER4_19q13.43b	0	0	0	0	0	0
MER41_5q21.1b	0	0	0	0	0	0
MER61_1q25.1b	0	0	0	0	0	0
PRIMA41_8q12.1	0	0	0	0	0	0
ERV316A3_10q26.13	0	0	0	0	0	0
ERV316A3_11p14.1a	0	0	0	0	0	0
ERV316A3_14q11.2d	0	0	0	0	0	0
ERV316A3_15q13.3a	0	0	0	0	0	0
ERV316A3_4p12c	0	0	0	0	0	0
ERV316A3_6q16.1d	0	0	0	0	0	0
ERV316A3_9q21.13b	0	0	0	0	0	0
ERVLB4_10p12.1b	0	0	0	0	0	0
ERVLE_7q22.1b	0	0	0	0	0	0
ERVLE_Xp21.1d	0	0	0	0	0	0
HML3_4p16.1a	0	0	0	0	0	0
HUERSP1_8q21.13	0	0	0	0	0	0
HUERSP3B_12q13.11	0	0	0	0	0	0
L1FLnI_10q21.3k	0	0	0	0	0	0
L1FLnI_10q22.3f	0	0	0	0	0	0
L1FLnI_11q24.2n	0	0	0	0	0	0
L1FLnI_12p12.3i	0	0	0	0	0	0
L1FLnI_3q24j	0	0	0	0	0	0
L1FLnI_Yp11.2pa	0	0	0	0	0	0
LTR23_Xq22.1	0	0	0	0	0	0
MER4_13q31.1a	0	0	0	0	0	0
MER4_4p16.1a	0	0	0	0	0	0
MER4_Xq27.2e	0	0	0	0	0	0
MER4_Yp11.2g	0	0	0	0	0	0
MER41_18q22.1a	0	0	0	0	0	0
MER61_3q26.1a	0	0	0	0	0	0
PABLB_15q11.2c	0	0	0	0	0	0
PABLB_15q11.2d	0	0	0	0	0	0
PABLB_Xp21.1a	0	0	0	0	0	0
ERV316A3_10q25.1k	0	0	0	0	0	0
ERV316A3_15q26.2b	0	0	0	0	0	0
ERV316A3_2p22.3g	0	0	0	0	0	0
ERV316A3_4p15.33f	0	0	0	0	0	0
ERV316A3_9p22.3	0	0	0	0	0	0
ERVL_Xp11.21b	0	0	0	0	0	0
ERVLB4_13q33.3	0	0	0	0	0	0
ERVLB4_7q34c	0	0	0	0	0	0
ERVLE_14q21.2f	0	0	0	0	0	0
ERVLE_6q14.1j	0	0	0	0	0	0
ERVLE_8p12h	0	0	0	0	0	0
HERVE_Yp11.2e	0	0	0	0	0	0
HERVIP10F_15q12	0	0	0	0	0	0
HERVL_17p11.2a	0	0	0	0	0	0
HUERSP3_10q25.1	0	0	0	0	0	0
HUERSP3_14q21.1	0	0	0	0	0	0
HUERSP3B_5p14.1b	0	0	0	0	0	0
HUERSP3B_Xp22.31	0	0	0	0	0	0
L1FLnI_12q14.1ha	0	0	0	0	0	0
L1FLnI_16q21v	0	0	0	0	0	0
L1FLnI_5p14.1q	0	0	0	0	0	0
L1FLnI_6q14.1q	0	0	0	0	0	0
L1FLnI_7q21.11ra	0	0	0	0	0	0
L1FLnI_8p23.2l	0	0	0	0	0	0
MER41_14q11.2b	0	0	0	0	0	0
MER41_6q23.3	0	0	0	0	0	0
PABLA_5p14.1	0	0	0	0	0	0
ERV316A3_10q11.23b	0	0	0	0	0	0
ERV316A3_10q11.23c	0	0	0	0	0	0
ERV316A3_17q24.3d	0	0	0	0	0	0
ERV316A3_3q26.1g	0	0	0	0	0	0
ERV316A3_5q32	0	0	0	0	0	0
ERVL_2q32.3	0	0	0	0	0	0
ERVLB4_10q11.23b	0	0	0	0	0	0
ERVLB4_18p11.32d	0	0	0	0	0	0
ERVLB4_4q31.21b	0	0	0	0	0	0
ERVLE_10p14g	0	0	0	0	0	0
ERVLE_12q21.1a	0	0	0	0	0	0
ERVLE_18p11.21c	0	0	0	0	0	0
ERVLE_3q11.2j	0	0	0	0	0	0
HERVIP10FH_2q14.2	0	0	0	0	0	0
HUERSP1_15q23a	0	0	0	0	0	0
HUERSP2_11q22.1c	0	0	0	0	0	0
HUERSP2_12p12.2	0	0	0	0	0	0
HUERSP2_6q16.1	0	0	0	0	0	0
L1FLnI_10q21.1r	0	0	0	0	0	0
L1FLnI_11q25j	0	0	0	0	0	0
L1FLnI_4q31.22o	0	0	0	0	0	0
L1FLnI_5q11.2n	0	0	0	0	0	0
L1FLnI_6q21ea	0	0	0	0	0	0
L1FLnI_Xp21.1m	0	0	0	0	0	0
L1FLnI_Xq21.1ee	0	0	0	0	0	0
LTR25_21q22.11	0	0	0	0	0	0
MER101_2q21.1b	0	0	0	0	0	0
MER101_2q21.1c	0	0	0	0	0	0
MER101_2q21.1d	0	0	0	0	0	0
MER34B_7q21.11	0	0	0	0	0	0
MER4_10q24.32	0	0	0	0	0	0
MER41_4q23c	0	0	0	0	0	0
MER4B_Xq21.31a	0	0	0	0	0	0
MER4B_Yp11.2a	0	0	0	0	0	0
MER61_1q31.1b	0	0	0	0	0	0
PABLA_14q23.3	0	0	0	0	0	0
PRIMA41_13q22.3	0	0	0	0	0	0
PRIMA41_5q21.1	0	0	0	0	0	0
PRIMA41_7q21.2	0	0	0	0	0	0
ERV316A3_17q21.32	0	0	0	0	0	0
ERV316A3_5p15.2f	0	0	0	0	0	0
ERV316A3_Xq24a	0	0	0	0	0	0
ERVL_2q37.1	0	0	0	0	0	0
ERVLB4_11q21d	0	0	0	0	0	0
ERVLB4_13q22.1	0	0	0	0	0	0
ERVLB4_1q43a	0	0	0	0	0	0
ERVLB4_8q12.1b	0	0	0	0	0	0
ERVLE_4q21.1d	0	0	0	0	0	0
ERVLE_6q13c	0	0	0	0	0	0
HERVIP10F_6q22.31	0	0	0	0	0	0
HERVL40_13q31.1c	0	0	0	0	0	0
HERVL66_19p12k	0	0	0	0	0	0
L1FLnI_17q21.33e	0	0	0	0	0	0
L1FLnI_3q25.2o	0	0	0	0	0	0
L1FLnI_6q14.1ka	0	0	0	0	0	0
LTR57_22q12.3	0	0	0	0	0	0
MER34B_1p21.2c	0	0	0	0	0	0
MER4_2p16.3	0	0	0	0	0	0
MER41_Xq11.2b	0	0	0	0	0	0
MER61_13q21.2	0	0	0	0	0	0
ERV316A3_18p11.32c	0	0	0	0	0	0
ERV316A3_4p15.31b	0	0	0	0	0	0
ERV316A3_4q34.3b	0	0	0	0	0	0
ERV316A3_5q12.1d	0	0	0	0	0	0
ERVL_1q41	0	0	0	0	0	0
ERVL_6p24.2	0	0	0	0	0	0
ERVLB4_12p13.32	0	0	0	0	0	0
ERVLB4_2q14.1d	0	0	0	0	0	0
ERVLB4_5q31.1	0	0	0	0	0	0
ERVLE_11q24.3d	0	0	0	0	0	0
ERVLE_16q12.2	0	0	0	0	0	0
ERVLE_3p25.1	0	0	0	0	0	0
ERVLE_4q21.22	0	0	0	0	0	0
ERVLE_6p22.2b	0	0	0	0	0	0
HUERSP2_8q23.2	0	0	0	0	0	0
L1FLnI_14q21.1k	0	0	0	0	0	0
L1FLnI_14q24.2d	0	0	0	0	0	0
L1FLnI_4q28.1q	0	0	0	0	0	0
MER101_8q24.3a	0	0	0	0	0	0
MER34B_14q32.31	0	0	0	0	0	0
PRIMA41_14q23.2	0	0	0	0	0	0
PRIMA41_3q21.3a	0	0	0	0	0	0
ERV316A3_13q12.13c	0	0	0	0	0	0
ERVL_15q11.2a	0	0	0	0	0	0
ERVL_15q11.2b	0	0	0	0	0	0
ERVLB4_15q11.2l	0	0	0	0	0	0
ERVLB4_15q11.2q	0	0	0	0	0	0
ERVLB4_3p21.31c	0	0	0	0	0	0
ERVLB4_4q24b	0	0	0	0	0	0
ERVLB4_4q31.3b	0	0	0	0	0	0
ERVLB4_5p14.2b	0	0	0	0	0	0
ERVLB4_5q23.1	0	0	0	0	0	0
ERVLB4_5q23.2d	0	0	0	0	0	0
ERVLB4_6q24.1b	0	0	0	0	0	0
ERVLB4_6q25.1	0	0	0	0	0	0
ERVLE_11p14.1a	0	0	0	0	0	0
ERVLE_15q13.3a	0	0	0	0	0	0
ERVLE_15q23f	0	0	0	0	0	0
ERVLE_2q32.1i	0	0	0	0	0	0
ERVLE_4q26b	0	0	0	0	0	0
ERVLE_6q22.31g	0	0	0	0	0	0
ERVLE_Xq25	0	0	0	0	0	0
MER41_19p12b	0	0	0	0	0	0
ERV316A3_13q31.1e	0	0	0	0	0	0
ERV316A3_4p16.1b	0	0	0	0	0	0
ERV316A3_9p24.2b	0	0	0	0	0	0
ERVLB4_20p11.21c	0	0	0	0	0	0
ERVLB4_8q24.13a	0	0	0	0	0	0
ERVLE_12q12f	0	0	0	0	0	0
ERVLE_2q32.1a	0	0	0	0	0	0
ERVLE_5q14.3c	0	0	0	0	0	0
ERVLE_9q21.32a	0	0	0	0	0	0
HERVL18_5q21.1	0	0	0	0	0	0
HERVL40_8p23.2a	0	0	0	0	0	0
HERVL74_4q35.1	0	0	0	0	0	0
HUERSP2_6q14.3	0	0	0	0	0	0
L1FLnI_4q24a	0	0	0	0	0	0
L1FLnI_8q23.2e	0	0	0	0	0	0
L1FLnI_9p21.1i	0	0	0	0	0	0
MER101_11p14.3	0	0	0	0	0	0
MER101_17p13.2	0	0	0	0	0	0
MER41_15q24.1	0	0	0	0	0	0
MER41_Xq11.2a	0	0	0	0	0	0
PRIMA41_4q12	0	0	0	0	0	0
PRIMA41_4q13.2a	0	0	0	0	0	0
ERV316A3_10p13b	0	0	0	0	0	0
ERV316A3_10p15.1d	0	0	0	0	0	0
ERV316A3_11q23.3e	0	0	0	0	0	0
ERV316A3_12q21.2	0	0	0	0	0	0
ERV316A3_13q22.2a	0	0	0	0	0	0
ERV316A3_1q42.13d	0	0	0	0	0	0
ERV316A3_1q43b	0	0	0	0	0	0
ERV316A3_20q13.2	0	0	0	0	0	0
ERV316A3_21q21.3a	0	0	0	0	0	0
ERV316A3_2p22.3c	0	0	0	0	0	0
ERV316A3_2p24.1c	0	0	0	0	0	0
ERV316A3_2q32.1h	0	0	0	0	0	0
ERV316A3_3q12.1a	0	0	0	0	0	0
ERV316A3_4q32.1c	0	0	0	0	0	0
ERV316A3_5p15.1d	0	0	0	0	0	0
ERV316A3_5p15.32d	0	0	0	0	0	0
ERV316A3_5q11.1	0	0	0	0	0	0
ERV316A3_5q31.1c	0	0	0	0	0	0
ERV316A3_6p12.3b	0	0	0	0	0	0
ERV316A3_7p14.3	0	0	0	0	0	0
ERV316A3_8p22g	0	0	0	0	0	0
ERV316A3_9q31.1a	0	0	0	0	0	0
ERV316A3_Xp11.22c	0	0	0	0	0	0
ERVL_13q21.32a	0	0	0	0	0	0
ERVL_15q21.1	0	0	0	0	0	0
ERVL_8p11.21a	0	0	0	0	0	0
ERVLB4_11q22.2	0	0	0	0	0	0
ERVLB4_12p11.22d	0	0	0	0	0	0
ERVLB4_13q21.32c	0	0	0	0	0	0
ERVLB4_15q11.2s	0	0	0	0	0	0
ERVLB4_18q22.1b	0	0	0	0	0	0
ERVLB4_1q42.13a	0	0	0	0	0	0
ERVLB4_21q21.3c	0	0	0	0	0	0
ERVLB4_21q22.11	0	0	0	0	0	0
ERVLB4_3q26.31b	0	0	0	0	0	0
ERVLB4_4p12c	0	0	0	0	0	0
ERVLB4_4q27	0	0	0	0	0	0
ERVLB4_6q16.1a	0	0	0	0	0	0
ERVLB4_7p12.3e	0	0	0	0	0	0
ERVLB4_7p21.3b	0	0	0	0	0	0
ERVLB4_Xq21.1h	0	0	0	0	0	0
ERVLB4_Xq21.31h	0	0	0	0	0	0
ERVLB4_Yp11.2d	0	0	0	0	0	0
ERVLE_13q21.31d	0	0	0	0	0	0
ERVLE_13q33.3a	0	0	0	0	0	0
ERVLE_17p13.1	0	0	0	0	0	0
ERVLE_18q12.1n	0	0	0	0	0	0
ERVLE_1p31.1c	0	0	0	0	0	0
ERVLE_1p31.1f	0	0	0	0	0	0
ERVLE_1p31.3e	0	0	0	0	0	0
ERVLE_1q41b	0	0	0	0	0	0
ERVLE_3p24.2c	0	0	0	0	0	0
ERVLE_3q13.33c	0	0	0	0	0	0
ERVLE_3q25.1	0	0	0	0	0	0
ERVLE_4p12c	0	0	0	0	0	0
ERVLE_4q34.3a	0	0	0	0	0	0
ERVLE_6q25.2d	0	0	0	0	0	0
ERVLE_7q36.1d	0	0	0	0	0	0
ERVLE_8q24.3d	0	0	0	0	0	0
ERVLE_9p23c	0	0	0	0	0	0
ERVLE_Xq21.31a	0	0	0	0	0	0
HERV4_14q21.2b	0	0	0	0	0	0
HERVEA_21q21.1	0	0	0	0	0	0
HERVFRD_3q26.1a	0	0	0	0	0	0
HERVFRD_3q26.1b	0	0	0	0	0	0
HERVL_2p16.3d	0	0	0	0	0	0
HERVL18_11p12a	0	0	0	0	0	0
HERVL40_14q21.2a	0	0	0	0	0	0
HUERSP2_11p14.3	0	0	0	0	0	0
HUERSP2_18q21.2	0	0	0	0	0	0
HUERSP3_8q23.3	0	0	0	0	0	0
HUERSP3_Yq11.222c	0	0	0	0	0	0
L1FLnI_11p14.1u	0	0	0	0	0	0
L1FLnI_11q24.3n	0	0	0	0	0	0
L1FLnI_13q31.3h	0	0	0	0	0	0
L1FLnI_18p11.21o	0	0	0	0	0	0
L1FLnI_18q22.2h	0	0	0	0	0	0
L1FLnI_1p31.1hc	0	0	0	0	0	0
L1FLnI_2p12oa	0	0	0	0	0	0
L1FLnI_2p12w	0	0	0	0	0	0
L1FLnI_2p22.3o	0	0	0	0	0	0
L1FLnI_2q31.3b	0	0	0	0	0	0
L1FLnI_3p22.1n	0	0	0	0	0	0
L1FLnI_3q26.1q	0	0	0	0	0	0
L1FLnI_3q26.31g	0	0	0	0	0	0
L1FLnI_4p12h	0	0	0	0	0	0
L1FLnI_4p15.1s	0	0	0	0	0	0
L1FLnI_4p15.2l	0	0	0	0	0	0
L1FLnI_4q12a	0	0	0	0	0	0
L1FLnI_4q31.22p	0	0	0	0	0	0
L1FLnI_4q31.23e	0	0	0	0	0	0
L1FLnI_5q14.3oa	0	0	0	0	0	0
L1FLnI_5q21.2g	0	0	0	0	0	0
L1FLnI_5q23.2r	0	0	0	0	0	0
L1FLnI_6q11.1s	0	0	0	0	0	0
L1FLnI_6q12u	0	0	0	0	0	0
L1FLnI_8q21.13w	0	0	0	0	0	0
L1FLnI_9p21.3v	0	0	0	0	0	0
L1FLnI_Xq13.1e	0	0	0	0	0	0
L1FLnI_Xq21.31o	0	0	0	0	0	0
L1FLnI_Xq21.31w	0	0	0	0	0	0
L1FLnI_Xq27.3ea	0	0	0	0	0	0
L1FLnI_Yq11.221oa	0	0	0	0	0	0
LTR57_2q36.3	0	0	0	0	0	0
MER101_11q13.2	0	0	0	0	0	0
MER101_12q13.3	0	0	0	0	0	0
MER34B_11q21	0	0	0	0	0	0
MER34B_2q35	0	0	0	0	0	0
MER34B_7p12.3	0	0	0	0	0	0
MER4_22q13.33a	0	0	0	0	0	0
MER4_22q13.33c	0	0	0	0	0	0
MER4_2p12a	0	0	0	0	0	0
MER4_4p15.1b	0	0	0	0	0	0
MER4_6q27b	0	0	0	0	0	0
MER4_Xq21.1n	0	0	0	0	0	0
MER4_Xq21.31g	0	0	0	0	0	0
MER41_11q12.1b	0	0	0	0	0	0
MER41_12q15	0	0	0	0	0	0
MER41_17p11.2c	0	0	0	0	0	0
MER41_17q11.1	0	0	0	0	0	0
MER41_4q32.1a	0	0	0	0	0	0
MER41_6p22.1a	0	0	0	0	0	0
MER41_6p22.2	0	0	0	0	0	0
MER41_6q25.3a	0	0	0	0	0	0
MER41_7p12.3	0	0	0	0	0	0
MER4B_5q13.2	0	0	0	0	0	0
MER4B_7q33b	0	0	0	0	0	0
MER4B_Xp21.1b	0	0	0	0	0	0
MER61_18q21.2a	0	0	0	0	0	0
MER61_1p21.1b	0	0	0	0	0	0
MER61_1p21.1e	0	0	0	0	0	0
MER61_21q22.3	0	0	0	0	0	0
MER61_6q16.3d	0	0	0	0	0	0
MER61_7p12.3a	0	0	0	0	0	0
MER61_Xq21.1g	0	0	0	0	0	0
MER61_Xq25b	0	0	0	0	0	0
PABLB_3q13.33	0	0	0	0	0	0
PRIMA4_11q24.1	0	0	0	0	0	0
PRIMA41_18q22.3	0	0	0	0	0	0
ERV316A3_15q21.3d	0	0	0	0	0	0
ERV316A3_1q21.3d	0	0	0	0	0	0
ERV316A3_21q21.2f	0	0	0	0	0	0
ERV316A3_2q22.3b	0	0	0	0	0	0
ERV316A3_4q35.1	0	0	0	0	0	0
ERV316A3_5p13.3c	0	0	0	0	0	0
ERV316A3_5q15e	0	0	0	0	0	0
ERV316A3_6q25.2e	0	0	0	0	0	0
ERV316A3_8q24.23k	0	0	0	0	0	0
ERVL_8q23.2b	0	0	0	0	0	0
ERVLB4_12p13.1	0	0	0	0	0	0
ERVLB4_14q12a	0	0	0	0	0	0
ERVLB4_18q12.3a	0	0	0	0	0	0
ERVLB4_18q12.3b	0	0	0	0	0	0
ERVLB4_19q13.42a	0	0	0	0	0	0
ERVLB4_1p21.1a	0	0	0	0	0	0
ERVLB4_1p31.1g	0	0	0	0	0	0
ERVLB4_21q22.3b	0	0	0	0	0	0
ERVLB4_2q36.1b	0	0	0	0	0	0
ERVLB4_3p12.2c	0	0	0	0	0	0
ERVLB4_3p26.1	0	0	0	0	0	0
ERVLB4_3q26.2a	0	0	0	0	0	0
ERVLB4_4p15.1b	0	0	0	0	0	0
ERVLB4_Xq22.1b	0	0	0	0	0	0
ERVLE_11q13.1a	0	0	0	0	0	0
ERVLE_11q23.3e	0	0	0	0	0	0
ERVLE_12p13.1a	0	0	0	0	0	0
ERVLE_12q21.2	0	0	0	0	0	0
ERVLE_15q15.1	0	0	0	0	0	0
ERVLE_15q21.1d	0	0	0	0	0	0
ERVLE_15q22.32	0	0	0	0	0	0
ERVLE_1p21.2b	0	0	0	0	0	0
ERVLE_1q25.3f	0	0	0	0	0	0
ERVLE_2q34f	0	0	0	0	0	0
ERVLE_4q34.1d	0	0	0	0	0	0
ERVLE_5q13.2b	0	0	0	0	0	0
ERVLE_6p12.3b	0	0	0	0	0	0
ERVLE_6p21.1a	0	0	0	0	0	0
ERVLE_7q35a	0	0	0	0	0	0
ERVLE_9p23b	0	0	0	0	0	0
HERVL_Xq25s	0	0	0	0	0	0
HERVL40_6q16.1c	0	0	0	0	0	0
HERVP71A_1q41	0	0	0	0	0	0
HUERSP3_6q12b	0	0	0	0	0	0
HUERSP3_Xq21.1a	0	0	0	0	0	0
L1FLnI_11q22.3na	0	0	0	0	0	0
L1FLnI_14q12k	0	0	0	0	0	0
L1FLnI_18q12.3k	0	0	0	0	0	0
L1FLnI_4q34.1x	0	0	0	0	0	0
L1FLnI_6q16.1o	0	0	0	0	0	0
L1FLnI_8q24.22a	0	0	0	0	0	0
L1FLnI_Xp21.1s	0	0	0	0	0	0
LTR25_2q32.3b	0	0	0	0	0	0
MER101_15q25.1a	0	0	0	0	0	0
MER101_3p22.3	0	0	0	0	0	0
MER4_14q12a	0	0	0	0	0	0
MER41_10q11.21	0	0	0	0	0	0
MER41_11q22.1b	0	0	0	0	0	0
MER41_18q22.1b	0	0	0	0	0	0
MER41_2q34	0	0	0	0	0	0
MER41_5q22.1	0	0	0	0	0	0
MER41_Xq11.1a	0	0	0	0	0	0
MER41_Xq23c	0	0	0	0	0	0
MER4B_6q16.1	0	0	0	0	0	0
MER4B_Xq22.3b	0	0	0	0	0	0
MER4B_Xq27.3e	0	0	0	0	0	0
MER61_18q12.1a	0	0	0	0	0	0
MER61_1q23.1a	0	0	0	0	0	0
MER61_2q24.3	0	0	0	0	0	0
MER61_3q25.31	0	0	0	0	0	0
MER61_Xp21.1a	0	0	0	0	0	0
MER61_Xq21.32	0	0	0	0	0	0
PABLB_6q24.1	0	0	0	0	0	0
PRIMA41_3q13.33	0	0	0	0	0	0
ERV316A3_14q32.32	0	0	0	0	0	0
ERV316A3_17q22a	0	0	0	0	0	0
ERV316A3_3q13.33a	0	0	0	0	0	0
ERV316A3_Xq22.3b	0	0	0	0	0	0
ERVLB4_1q23.3a	0	0	0	0	0	0
ERVLE_11q22.3d	0	0	0	0	0	0
ERVLE_12p13.31b	0	0	0	0	0	0
ERVLE_18q21.32c	0	0	0	0	0	0
ERVLE_2q14.1a	0	0	0	0	0	0
ERVLE_8q13.1c	0	0	0	0	0	0
ERVLE_8q22.2a	0	0	0	0	0	0
HERVFRD_Xq21.33d	0	0	0	0	0	0
HERVL_2q12.3	0	0	0	0	0	0
HERVL40_4q28.3d	0	0	0	0	0	0
HML6_19p12a	0	0	0	0	0	0
HUERSP1_6q12a	0	0	0	0	0	0
HUERSP3B_18q21.2a	0	0	0	0	0	0
L1FLnI_4p15.33y	0	0	0	0	0	0
L1FLnI_7p14.1s	0	0	0	0	0	0
L1FLnI_Xq21.1ib	0	0	0	0	0	0
MER4_12q21.32b	0	0	0	0	0	0
MER4_1q41c	0	0	0	0	0	0
MER41_8q24.23	0	0	0	0	0	0
MER4B_2p23.1	0	0	0	0	0	0
MER61_7p11.2	0	0	0	0	0	0
ERVLE_1p36.13e	0	0	0	0	0	0
ERVLE_2p23.1b	0	0	0	0	0	0
HERVL40_5q14.1	0	0	0	0	0	0
HML3_Yq11.223h	0	0	0	0	0	0
HUERSP3_22q11.22	0	0	0	0	0	0
L1FLnI_13q22.2b	0	0	0	0	0	0
L1FLnI_3q26.33d	0	0	0	0	0	0
L1FLnI_5q23.1g	0	0	0	0	0	0
MER101_7q11.21b	0	0	0	0	0	0
MER34B_1q23.1	0	0	0	0	0	0
PABLA_7q21.11	0	0	0	0	0	0
ERV316A3_13q14.3a	0	0	0	0	0	0
ERV316A3_15q21.1b	0	0	0	0	0	0
ERV316A3_2q14.1d	0	0	0	0	0	0
ERV316A3_6q22.1c	0	0	0	0	0	0
ERV316A3_9q22.33a	0	0	0	0	0	0
ERVLB4_11q14.1	0	0	0	0	0	0
ERVLB4_18p11.22	0	0	0	0	0	0
ERVLB4_8p12e	0	0	0	0	0	0
ERVLE_10p13b	0	0	0	0	0	0
ERVLE_3p12.2c	0	0	0	0	0	0
ERVLE_7q35b	0	0	0	0	0	0
ERVLE_8q11.21c	0	0	0	0	0	0
HERVL_12q24.32b	0	0	0	0	0	0
HERVL40_4q34.3	0	0	0	0	0	0
L1FLnI_Xq21.1dd	0	0	0	0	0	0
L1FLnI_Yq11.21u	0	0	0	0	0	0
MER101_2p11.2	0	0	0	0	0	0
MER4_13q12.11	0	0	0	0	0	0
MER4_7q31.31a	0	0	0	0	0	0
MER41_11p15.5b	0	0	0	0	0	0
ERV316A3_5q11.2e	0	0	0	0	0	0
ERVLB4_8q23.3b	0	0	0	0	0	0
ERVLE_1p31.3f	0	0	0	0	0	0
ERVLE_7q36.2f	0	0	0	0	0	0
HERVL40_4q23	0	0	0	0	0	0
HERVP71A_5q14.3	0	0	0	0	0	0
HUERSP2_6p21.32	0	0	0	0	0	0
L1FLnI_8q23.3y	0	0	0	0	0	0
L1FLnI_Xq25ca	0	0	0	0	0	0
LTR25_13q31.1	0	0	0	0	0	0
LTR46_Xq21.31	0	0	0	0	0	0
LTR46_Yp11.2	0	0	0	0	0	0
MER4_12q22b	0	0	0	0	0	0
MER4_6q14.3a	0	0	0	0	0	0
MER4B_10q23.31a	0	0	0	0	0	0
MER4B_8q24.3	0	0	0	0	0	0
MER61_6q14.1a	0	0	0	0	0	0
MER61_Xq13.2	0	0	0	0	0	0
ERV316A3_1p21.3a	0	0	0	0	0	0
ERV316A3_1p31.1d	0	0	0	0	0	0
ERV316A3_1q42.13f	0	0	0	0	0	0
ERV316A3_7q31.32c	0	0	0	0	0	0
ERVLB4_6q22.31a	0	0	0	0	0	0
ERVLB4_8q21.3a	0	0	0	0	0	0
ERVLE_18q12.1c	0	0	0	0	0	0
ERVLE_20p13d	0	0	0	0	0	0
ERVLE_3p14.3a	0	0	0	0	0	0
ERVLE_6q23.2c	0	0	0	0	0	0
ERVLE_8q21.13h	0	0	0	0	0	0
ERVLE_8q23.3b	0	0	0	0	0	0
HERVH_9p21.2b	0	0	0	0	0	0
HERVL_12q21.31d	0	0	0	0	0	0
HERVL_3q26.1d	0	0	0	0	0	0
HERVL_5p15.1c	0	0	0	0	0	0
HERVL_Xp11.21e	0	0	0	0	0	0
HERVL74_4q32.3	0	0	0	0	0	0
HERVP71A_2p24.2	0	0	0	0	0	0
HML5_19p12f	0	0	0	0	0	0
L1FLnI_12q21.32w	0	0	0	0	0	0
L1FLnI_18q12.1j	0	0	0	0	0	0
L1FLnI_1p13.3d	0	0	0	0	0	0
LTR19_Yp11.2b	0	0	0	0	0	0
LTR19_Yq11.223d	0	0	0	0	0	0
MER101_15q25.1b	0	0	0	0	0	0
MER101_2p14	0	0	0	0	0	0
MER4_13q21.31	0	0	0	0	0	0
MER4_2p24.3b	0	0	0	0	0	0
MER4_4q31.21b	0	0	0	0	0	0
MER4_5p14.3b	0	0	0	0	0	0
MER4_6q25.2b	0	0	0	0	0	0
MER4_Xq11.2c	0	0	0	0	0	0
MER4_Yq11.221d	0	0	0	0	0	0
MER41_4q13.3	0	0	0	0	0	0
MER41_4q34.1c	0	0	0	0	0	0
MER4B_Xq21.31e	0	0	0	0	0	0
MER61_6q23.3	0	0	0	0	0	0
PRIMA4_11q22.3	0	0	0	0	0	0
ERV316A3_10q23.1b	0	0	0	0	0	0
ERV316A3_13q21.32e	0	0	0	0	0	0
ERV316A3_15q15.1a	0	0	0	0	0	0
ERV316A3_17p12a	0	0	0	0	0	0
ERV316A3_2q33.1b	0	0	0	0	0	0
ERV316A3_2q33.3a	0	0	0	0	0	0
ERV316A3_3p25.2d	0	0	0	0	0	0
ERV316A3_5p15.2e	0	0	0	0	0	0
ERV316A3_5q23.2e	0	0	0	0	0	0
ERV316A3_8p11.23a	0	0	0	0	0	0
ERV316A3_8q24.12d	0	0	0	0	0	0
ERV316A3_9p23c	0	0	0	0	0	0
ERVL_2p16.3	0	0	0	0	0	0
ERVL_6q16.1d	0	0	0	0	0	0
ERVL_8q24.3	0	0	0	0	0	0
