Calu3_mock3	Calu3_mock2	Calu3_mock1	Calu3_SARSCoV2_3	Calu3_SARSCoV2_2	Calu3_SARSCoV2_1
HARLEQUIN_16p11.1	0	0	0	0	0	0
HARLEQUIN_17q12	0	0	0	0	0	0
HARLEQUIN_17q21.31	71	79	251	111	77	115
HARLEQUIN_17q21.33	2	0	5	6	0	4
HARLEQUIN_17q25.3a	2	5	20	31	22	52
HARLEQUIN_17q25.3b	1	0	2	2	1	1
HARLEQUIN_18p11.22a	0	0	1	0	0	0
HARLEQUIN_18p11.22b	0	1	2	2	7	1
HARLEQUIN_19p12a	0	0	0	0	0	0
HARLEQUIN_19p12b	0	0	1	0	0	1
HARLEQUIN_19p12c	0	0	0	0	0	0
HARLEQUIN_19p12d	0	0	0	0	0	0
HARLEQUIN_19p12e	0	0	0	0	0	0
HARLEQUIN_19p13.11	1	12	14	5	1	12
HARLEQUIN_19p13.2	0	0	0	0	0	0
HARLEQUIN_19p13.3	0	1	0	0	1	0
HARLEQUIN_19q13.41	5	4	28	17	8	11
HARLEQUIN_1p13.2a	0	0	0	0	1	0
HARLEQUIN_1p13.2b	0	0	1	0	0	0
HARLEQUIN_1p22.1	0	0	3	0	0	0
HARLEQUIN_1p22.2	0	0	0	0	0	0
HARLEQUIN_1p33	4	5	22	7	11	10
HARLEQUIN_1p34.3a	0	0	0	0	0	0
HARLEQUIN_1p34.3b	0	0	0	0	0	0
HARLEQUIN_1p35.3	0	2	0	2	1	3
HARLEQUIN_1p36.33	0	0	0	0	0	0
HARLEQUIN_1q21.2	0	2	0	0	0	0
HARLEQUIN_1q24.2	0	0	0	0	0	0
HARLEQUIN_1q24.3	0	0	1	0	0	0
HARLEQUIN_1q32.1	729	987	2966	1437	811	1427
HARLEQUIN_1q32.3	1	2	10	1	0	2
HARLEQUIN_1q41	0	0	2	0	0	0
HARLEQUIN_1q42.13a	0	2	4	3	0	2
HARLEQUIN_1q42.13b	0	0	0	0	0	1
HARLEQUIN_1q42.13c	7	0	7	6	2	3
HARLEQUIN_1q44	0	0	0	0	0	0
HARLEQUIN_20p12.1	5	15	80	20	13	23
HARLEQUIN_20q13.32	0	0	0	0	0	0
HARLEQUIN_21q22.3a	0	0	3	3	3	0
HARLEQUIN_21q22.3b	2	1	3	7	2	7
HARLEQUIN_2p24.3	8	15	31	17	5	18
HARLEQUIN_2q11.2a	0	0	0	0	0	0
HARLEQUIN_2q11.2b	0	0	0	0	0	0
