mock1_13	mock2_14	wt1_15	wt2_16	CoV_A549_mock3	CoV_A549_mock2	CoV_A549_mock1	CoV_A549_SARSCoV2_3	CoV_A549_SARSCoV2_2	CoV_A549_SARSCoV2_1
ERVLB4_Xq26.3a	3	8	5	1	15	16	16	27	19	36
ERVLB4_Xq26.3y	0	0	2	0	1	3	0	3	7	8
ERVLE_1_KI270711v1_random	0	0	0	0	0	0	0	0	0	7
ERVLE_10p12.2a	0	0	0	0	0	0	0	0	0	0
ERVLE_10p15.1c	0	0	0	0	0	0	0	0	0	0
ERVLE_10q25.3b	0	0	0	0	0	0	0	0	0	0
ERVLE_10q25.3c	0	0	0	0	0	0	0	0	0	0
ERVLE_11p11.2c	2	0	0	1	1	3	3	8	3	5
ERVLE_11p15.3	0	0	0	0	0	0	0	0	0	0
ERVLE_11q14.2a	0	8	5	0	12	10	10	24	20	38
ERVLE_11q14.2c	0	0	0	0	0	0	0	0	0	1
ERVLE_12p11.23	14	17	29	5	21	21	15	43	50	59
ERVLE_12p12.1a	1	0	2	0	8	5	2	1	10	7
ERVLE_12p13.2c	0	0	0	0	1	0	0	1	1	4
ERVLE_12p13.32	0	0	0	0	0	1	0	0	0	0
ERVLE_12q13.11b	0	0	0	0	0	0	0	0	0	0
ERVLE_13q12.13b	0	0	0	0	0	1	0	1	0	0
ERVLE_13q13.3a	0	0	0	0	0	0	0	0	0	0
ERVLE_13q14.13	0	1	2	1	8	7	5	10	10	11
ERVLE_13q32.2	0	0	0	0	0	0	0	0	0	0
ERVLE_14q12b	2	4	4	0	8	3	6	9	4	17
ERVLE_14q12f	0	0	0	0	0	0	0	0	0	0
ERVLE_14q21.3e	0	1	0	0	3	2	1	1	3	0
ERVLE_14q22.1	0	0	0	0	2	0	0	0	2	2
ERVLE_15q11.1	0	0	0	0	0	0	0	0	0	0
ERVLE_15q21.2	0	0	0	0	1	1	1	0	0	14
ERVLE_15q25.1a	0	1	0	2	2	0	0	0	4	4
ERVLE_15q25.1f	0	1	0	1	5	0	1	4	2	6
ERVLE_15q25.3b	1	1	0	0	7	2	2	5	6	4
ERVLE_15q26.3c	0	1	0	0	1	0	0	0	4	2
ERVLE_16p12.1b	0	1	0	0	5	2	0	4	1	9
ERVLE_16p13.3b	3	1	0	0	2	1	3	17	10	21
ERVLE_17p11.2c	2	0	0	0	7	8	4	14	31	24
ERVLE_17q21.31	1	0	2	0	2	1	1	2	5	1
ERVLE_18q12.2a	0	0	0	0	0	0	0	0	1	2
ERVLE_19p13.2a	0	1	2	0	4	1	4	0	4	13
ERVLE_19q12a	0	0	0	0	0	0	0	0	0	0
ERVLE_19q13.12c	1	2	2	0	5	8	5	5	16	15
ERVLE_19q13.31c	0	1	3	0	0	1	1	3	3	4
ERVLE_19q13.31d	0	0	9	0	0	0	0	0	3	5
ERVLE_19q13.42	10	27	16	14	19	16	17	16	29	50
ERVLE_1p13.2a	1	2	0	1	3	6	6	5	18	17
ERVLE_1p21.3c	0	1	2	0	2	7	4	5	4	11
ERVLE_1p31.1j	0	0	0	0	2	4	4	2	2	3
ERVLE_1p34.2a	1	0	0	0	1	1	1	0	0	0
ERVLE_1p35.1c	1	2	7	1	3	4	2	3	2	6
ERVLE_1p35.3c	0	1	0	0	0	0	0	0	0	0
ERVLE_1p36.11b	0	0	0	1	0	1	0	1	0	0
ERVLE_1p36.12	2	2	1	1	3	4	0	7	6	9
ERVLE_1p36.13b	2	0	6	0	12	10	13	9	12	0
ERVLE_1q21.1a	0	0	0	0	0	0	0	0	0	0
ERVLE_1q23.2b	1	6	7	1	8	5	6	15	12	16
ERVLE_1q32.1b	0	0	0	1	0	2	0	1	1	0
ERVLE_1q42.12a	3	6	4	1	8	3	5	8	4	29
ERVLE_20q13.12b	0	2	1	0	5	3	2	1	2	6
ERVLE_22q11.23a	0	0	0	0	0	0	0	0	2	0
ERVLE_22q13.2f	0	1	0	0	1	1	1	1	0	9
ERVLE_22q13.33	2	12	17	4	19	17	14	10	15	14
ERVLE_2p13.2a	0	2	3	0	6	9	3	0	2	14
ERVLE_2p23.3b	0	2	1	0	4	2	1	9	3	6
ERVLE_2q11.2a	0	0	0	0	2	1	1	0	3	3
ERVLE_2q11.2b	1	5	2	0	2	10	9	10	11	14
ERVLE_2q24.2a	0	0	0	0	0	0	0	0	0	0
ERVLE_2q34e	0	0	0	0	0	0	0	0	0	0
ERVLE_2q35a	0	1	3	1	5	0	3	2	3	10
ERVLE_2q36.3b	0	0	0	0	0	0	0	1	0	1
ERVLE_3p24.1e	0	0	0	0	0	0	0	0	0	0
ERVLE_3q25.32	0	0	0	0	0	0	0	0	0	0
ERVLE_3q26.2	0	0	0	1	1	3	1	0	0	1
ERVLE_3q28e	0	0	0	0	0	0	0	0	1	0
ERVLE_3q29b	1	0	1	2	10	5	8	9	8	16
ERVLE_4p12e	0	0	0	0	0	1	3	1	1	0
ERVLE_4p16.1c	0	2	1	0	0	2	2	1	1	3
ERVLE_4q13.3g	0	0	0	0	0	0	1	1	1	4
ERVLE_4q21.3	0	1	0	0	0	2	4	1	2	8
ERVLE_4q24h	0	0	0	1	0	0	1	0	0	0
ERVLE_4q24i	2	4	1	2	2	3	0	5	9	13
ERVLE_4q28.3j	0	0	0	0	0	0	0	0	0	0
ERVLE_5p12b	0	0	11	3	0	1	0	0	0	1
ERVLE_5p15.31a	0	0	0	0	0	0	0	1	0	0
ERVLE_5q13.2a	2	3	2	0	2	2	2	1	4	7
ERVLE_5q22.2d	0	0	0	0	0	0	0	0	0	0
ERVLE_5q22.3e	1	0	1	0	0	0	0	0	4	0
ERVLE_5q35.3c	1	2	0	1	5	1	3	3	7	14
ERVLE_6p22.1a	2	1	0	0	1	5	3	0	0	0
ERVLE_6q22.32	1	0	2	0	3	6	5	5	0	8
ERVLE_7p15.3a	0	1	1	0	3	2	0	1	0	0
ERVLE_7p22.1a	0	0	4	0	1	1	0	0	5	8
ERVLE_7p22.3	0	0	1	0	0	0	0	0	0	2
ERVLE_7q36.1a	0	0	0	0	1	2	0	0	1	0
ERVLE_7q36.1c	0	0	0	0	0	0	0	0	0	0
ERVLE_8p11.23b	0	0	0	0	0	0	0	0	0	0
ERVLE_8p23.1b	0	0	1	0	2	1	0	0	3	2
ERVLE_8q11.23b	0	4	0	1	6	3	4	5	11	2
ERVLE_8q22.3b	1	2	0	0	2	6	3	5	2	13
ERVLE_8q22.3c	0	0	2	0	2	3	0	1	6	3
ERVLE_8q24.11	0	0	5	0	2	0	0	0	1	0
ERVLE_8q24.3h	0	0	1	1	3	3	2	4	2	8
ERVLE_9p13.3a	0	0	0	0	0	0	0	0	0	0
ERVLE_9p21.3a	0	1	2	0	0	1	0	5	2	4
ERVLE_9q21.13c	1	2	0	0	1	0	3	1	3	9
ERVLE_9q21.31b	0	0	0	0	0	0	0	0	0	0
ERVLE_9q22.1	0	1	0	0	4	3	3	0	2	3
ERVLE_9q22.31	2	3	3	0	5	4	3	9	5	29
ERVLE_Xp11.3a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_10p11.23a	0	0	1	0	0	0	1	0	0	0
HARLEQUIN_10p11.23b	0	0	1	0	0	0	0	0	0	1
HARLEQUIN_10q21.2a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_10q21.2b	0	0	0	0	1	0	0	0	0	0
HARLEQUIN_10q21.3	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_10q22.1	0	1	0	0	0	0	0	0	0	0
HARLEQUIN_10q23.1	0	0	0	3	0	0	0	0	0	0
HARLEQUIN_10q23.33	0	0	0	0	0	0	0	0	0	2
HARLEQUIN_10q24.2	0	0	0	0	0	1	0	0	0	2
HARLEQUIN_11q12.2a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_11q12.2b	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_11q13.4	0	0	1	1	0	0	0	0	0	0
HARLEQUIN_11q14.1	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_11q21	0	0	1	0	1	1	0	0	1	2
HARLEQUIN_11q22.1a	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_11q22.1b	0	0	0	1	0	0	0	0	0	0
HARLEQUIN_11q22.3	0	0	0	0	1	0	0	0	0	0
HARLEQUIN_12p12.2	0	1	0	0	3	2	1	7	8	12
HARLEQUIN_12p13.32	0	0	0	0	0	0	0	0	0	1
HARLEQUIN_12q13.12	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_12q15	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_12q21.1	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_13q12.12	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_13q22.3	0	0	0	0	0	0	0	0	2	0
HARLEQUIN_16p11.1	0	0	0	0	0	0	0	0	0	1
HARLEQUIN_17q12	0	0	0	0	0	0	0	0	0	0
HARLEQUIN_17q21.31	47	106	121	30	189	168	174	241	251	482
HARLEQUIN_17q21.33	0	1	2	0	0	0	0	0	0	1
HARLEQUIN_17q25.3a	2	6	12	1	12	13	24	7	21	31
HARLEQUIN_17q25.3b	0	0	7	1	0	2	0	0	4	2
HARLEQUIN_18p11.22a	0	0	2	0	0	0	0	0	0	1
