"Calu3_mock3" "Calu3_mock2" "Calu3_mock1" "Calu3_SARSCoV2_3" "Calu3_SARSCoV2_2" "Calu3_SARSCoV2_1" "SRR1942929" "SRR1942934" "SRR1942956" "SRR1942957" "SRR1942960" "SRR1942961" "SRR1942989" "SRR1942990"
"ERV316A3_12q23.2b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.3c" 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q23.3e" 0 0 0 0 0 0 1 0 0 0 0 0 1 0
"ERV316A3_12q24.11" 1 0 3 0 0 0 0 0 0 0 1 0 0 0
"ERV316A3_12q24.13" 1 3 8 43 16 39 6 8 21 24 3 2 15 11
"ERV316A3_12q24.21" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q24.23" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q24.32a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q24.32b" 0 0 1 4 0 0 0 1 2 3 1 0 2 3
"ERV316A3_12q24.32c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q24.32d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_12q24.33" 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ERV316A3_13q12.12a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q12.12b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q12.13a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q12.13b" 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ERV316A3_13q12.13c" 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"ERV316A3_13q13.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q13.1b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q13.2" 0 0 0 0 0 1 0 0 0 0 0 1 0 1
"ERV316A3_13q13.3a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q13.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q13.3c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q13.3d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q13.3e" 0 0 0 0 0 1 1 5 0 1 0 0 1 0
"ERV316A3_13q13.3f" 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ERV316A3_13q13.3g" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q14.11a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q14.11b" 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"ERV316A3_13q14.13" 0 0 0 0 0 2 0 0 0 2 1 1 1 1
"ERV316A3_13q14.2a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q14.2b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q14.3a" 0 0 0 0 0 0 0 1 0 1 0 0 0 0
"ERV316A3_13q14.3b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.1a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.1c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.1d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.31a" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.31b" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.31c" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ERV316A3_13q21.31d" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
